baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	transcript_id	intModel	chr	start	end	strand	module	log2FC_per_10y	fold_change_per_10y	percent_change_per_10y
6.03327296000893	0.00560797856671145	0.0188772899522281	0.297075405468862	0.766408940796805	0.999833718687997	ERV316A3_10p11.1b	ERV3-16A3_I-int	chr10	38630974	38632555	+	turquoise	0.0560797856671145	1.03963692884509	3.96369288450893
7.05896091469578	-0.00109201041205334	0.0163799617552239	-0.0666674579814007	0.946846441422981	0.999833718687997	ERV316A3_10p11.21b	ERV3-16A3_I-int	chr10	35273618	35277559	-	turquoise	-0.0109201041205334	0.992459335168521	-0.754066483147886
7.79558373043171	0.00580228166759433	0.0204553007575756	0.283656629465371	0.776673534672807	0.999833718687997	ERV316A3_10p11.21c	ERV3-16A3_I-int	chr10	36728483	36730084	-	turquoise	0.0580228166759433	1.04103806189838	4.10380618983772
7.56364845035965	-0.00220184227655316	0.02010084763805	-0.109539772461395	0.912774377684785	0.999833718687997	ERV316A3_10p11.21e	ERV3-16A3_I-int	chr10	37449302	37451140	+	turquoise	-0.0220184227655316	0.984853866538665	-1.51461334613352
31.7440639860677	0.00768857264465644	0.00648206608787011	1.18612993765122	0.235570989387645	0.999833718687997	ERV316A3_10p11.21f	ERV3-16A3_I-int	chr10	37930138	37934250	-	turquoise	0.0768857264465644	1.05473876959801	5.47387695980126
4.71479054255216	-0.00125214574315174	0.0148493038393504	-0.0843235317088449	0.932799203430882	0.999833718687997	ERV316A3_10p11.22a	ERV3-16A3_I-int	chr10	31126525	31129023	-	turquoise	-0.0125214574315174	0.991358342723589	-0.864165727641097
13.5265552172988	-0.00142534414182535	0.0141493609395949	-0.100735584307326	0.9197603628472	0.999833718687997	ERV316A3_10p11.22b	ERV3-16A3_I-int	chr10	31594473	31596944	+	turquoise	-0.0142534414182535	0.990168911497956	-0.983108850204428
5.2677940737412	-0.00107307885436235	0.0120607476970389	-0.0889728299868013	0.929103502993233	0.999833718687997	ERV316A3_10p11.22c	ERV3-16A3_I-int	chr10	32004895	32005791	+	turquoise	-0.0107307885436235	0.992589577759282	-0.74104222407182
9.93895328778081	0.021171366376515	0.0198851666088758	1.06468136742013	0.287020144640608	0.999833718687997	ERV316A3_10p11.22d	ERV3-16A3_I-int	chr10	32437173	32439055	-	turquoise	0.21171366376515	1.15806293898027	15.8062938980273
29.4789383654124	-0.0125450408910951	0.0179190050059508	-0.700096957779127	0.483866755605197	0.999833718687997	ERV316A3_10p11.22e	ERV3-16A3_I-int	chr10	33580589	33586855	-	turquoise	-0.125450408910951	0.916717799532912	-8.32822004670879
5.51761705219673	-0.00142986914316193	0.0235927314352188	-0.0606063417068974	0.951672722859178	0.999833718687997	ERV316A3_10p12.1a	ERV3-16A3_I-int	chr10	28003642	28005566	-	turquoise	-0.0142986914316193	0.990137855417106	-0.986214458289436
6.09542111392757	0.00866087248428385	0.018764061846774	0.46156703996224	0.64439183540339	0.999833718687997	ERV316A3_10p12.1c	ERV3-16A3_I-int	chr10	28847784	28849979	+	turquoise	0.0866087248428385	1.06187115601165	6.18711560116487
